movie_name,release_year,runtime,genre,rating,director,cast_1,cast_2,cast_3,cast_4,votes,gross
(500) Days of Summer,(2009),95 min,"
Comedy, Drama, Romance            ","

7.7
",Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloë Grace Moretz,"540,709",$32.39M
12 Angry Men,(1957),96 min,"
Crime, Drama            ","

9.0
",Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,"833,132",$4.36M
12 Years a Slave,(2013),134 min,"
Biography, Drama, History            ","

8.1
",Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,"725,381",$56.67M
1917,(2019),119 min,"
Action, Drama, War            ","

8.2
",Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,"642,696",$159.23M
2001: A Space Odyssey,(1968),149 min,"
Adventure, Sci-Fi            ","

8.3
",Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,"698,879",$56.95M
21 Grams,(2003),124 min,"
Crime, Drama, Thriller            ","

7.6
",Alejandro G. Iñárritu,Sean Penn,Benicio Del Toro,Naomi Watts,Danny Huston,"242,829",$16.29M
25th Hour,(2002),135 min,"
Drama            ","

7.6
",Spike Lee,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Rosario Dawson,"182,809",$13.06M
3 Idiots,(2009),170 min,"
Comedy, Drama            ","

8.4
",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,"418,685",$6.53M
300,(2006),117 min,"
Action, Drama            ","

7.6
",Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West,"846,597",$210.61M
3:10 to Yuma,(2007),122 min,"
Action, Crime, Drama            ","

7.7
",James Mangold,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,"324,843",$53.61M
"4 luni, 3 saptamâni si 2 zile",(2007),113 min,"
Drama            ","

7.9
",Cristian Mungiu,Anamaria Marinca,Laura Vasiliu,Vlad Ivanov,Alexandru Potocean,"62,418",$1.19M
50/50,(2011),100 min,"
Comedy, Drama, Romance            ","

7.6
",Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,"338,901",$35.01M
